team_id,team_name,city
200,"Atlanta Hawks",Atlanta
201,"Boston Celtics",Boston
202,"Brooklyn Nets",Brooklyn
203,"Charlotte Hornets",Charlotte
204,"Chicago Bulls",Chicago
205,"Cleveland Cavaliers",Cleveland
206,"Dallas Mavericks",Dallas
207,"Denver Nuggets",Denver
208,"Detroit Pistons",Detroit
209,"Golden State Warriors","San Francisco"
210,"Houston Rockets",Houston
211,"Indiana Pacers",Indianapolis
212,"Los Angeles Clippers","Los Angeles"
213,"Los Angeles Lakers","Los Angeles"
214,"Memphis Grizzlies",Memphis
215,"Miami Heat",Miami
216,"Milwaukee Bucks",Milwaukee
217,"Minnesota Timberwolves",Minneapolis
218,"New Orleans Pelicans","New Orleans"
219,"New York Knicks","New York"
220,"Oklahoma City Thunder","Oklahoma City"
221,"Orlando Magic",Orlando
222,"Philadelphia 76ers",Philadelphia
223,"Phoenix Suns",Phoenix
224,"Portland Trail Blazers",Portland
225,"Sacramento Kings",Sacramento
226,"San Antonio Spurs","San Antonio"
227,"Toronto Raptors",Toronto
228,"Utah Jazz","Salt Lake City"
229,"Washington Wizards",Washington
